typo;typo_min;typvoie;prevoie;nomvoie;dico
RUE EMILE CHAINE;rue Émile Chaine;rue;;Émile Chaine;2000_PARIS
PLACE EMILE MALE;place Émile Mâle;place;;Émile Mâle;2000_PARIS
RUE MONTE CRISTO;rue Monte Cristo;rue;;Monte Cristo;2000_PARIS
RUE JACQUES HILLAIRET;rue Jacques Hillairet;rue;;Jacques Hillairet;2000_PARIS
RUE JARRY;rue Jarry;rue;;Jarry;2000_PARIS
VOIE BO/18;voie BO/18;voie;;BO/18;2000_PARIS
PASSAGE VERITE;passage Vérité;passage;;Vérité;2000_PARIS
CHEMIN DE CEINTURE DU LAC SUPERIEUR;chemin de Ceinture du Lac Supérieur;chemin;de;Ceinture du Lac Supérieur;2000_PARIS
AVENUE DU MAHATMA GANDHI;avenue du Mahatma Gandhi;avenue;du;Mahatma Gandhi;2000_PARIS
RUE DU GENERAL BEURET;rue du Général Beuret;rue;du;Général Beuret;2000_PARIS
RUE EDOUARD MANET;rue Édouard Manet;rue;;Édouard Manet;2000_PARIS
PASSAGE DE LA FOLIE-REGNAULT;passage de la Folie-Regnault;passage;de la;Folie-Regnault;2000_PARIS
CITE DUPLAN;cité Duplan;cité;;Duplan;2000_PARIS
RUE EUGENIE LEGRAND;rue Eugénie Legrand;rue;;Eugénie Legrand;2000_PARIS
RUE FRANCOEUR;rue Francoeur;rue;;Francoeur;2000_PARIS
RUE RAMUS;rue Ramus;rue;;Ramus;2000_PARIS
RUE SEGUIER;rue Séguier;rue;;Séguier;2000_PARIS
PLACE DU PRESIDENT EDOUARD HERRIOT;place du Président Édouard Herriot;place;du;Président Édouard Herriot;2000_PARIS
RUE DE PRESBOURG;rue de Presbourg;rue;de;Presbourg;2000_PARIS
IMPASSE RACINE;impasse Racine;impasse;;Racine;2000_PARIS
RUE EDOUARD ROBERT;rue Édouard Robert;rue;;Édouard Robert;2000_PARIS
RUE DE QUATREFAGES;rue de Quatrefages;rue;de;Quatrefages;2000_PARIS
RUE DU PROFESSEUR HYACINTHE VINCENT;rue du Professeur Hyacinthe Vincent;rue;du;Professeur Hyacinthe Vincent;2000_PARIS
RUE SINGER;rue Singer;rue;;Singer;2000_PARIS
RUE RAFFAELLI;rue Raffaëlli;rue;;Raffaëlli;2000_PARIS
IMPASSE DES PRETRES;impasse des Prêtres;impasse;des;Prêtres;2000_PARIS
RUE DE SOLFERINO;rue de Solférino;rue;de;Solférino;2000_PARIS
IMPASSE RAFFET;impasse Raffet;impasse;;Raffet;2000_PARIS
RUE DES DUNES;rue des Dunes;rue;des;Dunes;2000_PARIS
IMPASSE DRUINOT;impasse Druinot;impasse;;Druinot;2000_PARIS
AVENUE EDWARD TUCK;avenue Edward Tuck;avenue;;Edward Tuck;2000_PARIS
AVENUE FERDINAND BUISSON;avenue Ferdinand Buisson;avenue;;Ferdinand Buisson;2000_PARIS
RUE DUBAN;rue Duban;rue;;Duban;2000_PARIS
RUE FERNAND FOUREAU;rue Fernand Foureau;rue;;Fernand Foureau;2000_PARIS
RUE DES FEUILLANTINES;rue des Feuillantines;rue;des;Feuillantines;2000_PARIS
RUE DU GENERAL CLERGERIE;rue du Général Clergerie;rue;du;Général Clergerie;2000_PARIS
RUE FENOUX;rue Fenoux;rue;;Fenoux;2000_PARIS
CITE DES FLEURS;cité des Fleurs;cité;des;Fleurs;2000_PARIS
PASSAGE FLOURENS;passage Flourens;passage;;Flourens;2000_PARIS
CHAUSSEE DE L'ETANG;chaussée de l'Étang;chaussée;de l';Étang;2000_PARIS
PLACE ERNEST DENIS;place Ernest Denis;place;;Ernest Denis;2000_PARIS
VILLA EUGENE MANUEL;villa Eugène Manuel;villa;;Eugène Manuel;2000_PARIS
RUE DREVET;rue Drevet;rue;;Drevet;2000_PARIS
AVENUE EDOUARD VAILLANT;avenue Édouard Vaillant;avenue;;Édouard Vaillant;2000_PARIS
RUE DE LA FERRONNERIE;rue de la Ferronnerie;rue;de la;Ferronnerie;2000_PARIS
IMPASSE GRIMAUD;impasse Grimaud;impasse;;Grimaud;2000_PARIS
RUE EDMOND ROUSSE;rue Edmond Rousse;rue;;Edmond Rousse;2000_PARIS
RUE LEVERT;rue Levert;rue;;Levert;2000_PARIS
RUE DE LA ROSIERE;rue de la Rosière;rue;de la;Rosière;2000_PARIS
RUE FARADAY;rue Faraday;rue;;Faraday;2000_PARIS
RUE MONGE;rue Monge;rue;;Monge;2000_PARIS
RUE JULES SIMON;rue Jules Simon;rue;;Jules Simon;2000_PARIS
PLACE DE LA MONTAGNE DU GOULET;place de la Montagne du Goulet;place;de la;Montagne du Goulet;2000_PARIS
RUE DE LA FOLIE-REGNAULT;rue de la Folie-Regnault;rue;de la;Folie-Regnault;2000_PARIS
RUE FAGON;rue Fagon;rue;;Fagon;2000_PARIS
PASSAGE D'ENFER;passage d'Enfer;passage;d';Enfer;2000_PARIS
BOULEVARD SERURIER;boulevard Sérurier;boulevard;;Sérurier;2000_PARIS
PLACE MONSEIGNEUR LOUTIL;place Monseigneur Loutil;place;;Monseigneur Loutil;2000_PARIS
RUE EUGENE POUBELLE;rue Eugène Poubelle;rue;;Eugène Poubelle;2000_PARIS
VOIE CZ/19;voie CZ/19;voie;;CZ/19;2000_PARIS
RUE SAINT-GEORGES;rue Saint-Georges;rue;;Saint-Georges;2000_PARIS
IMPASSE SAINTE-MONIQUE;impasse Sainte-Monique;impasse;;Sainte-Monique;2000_PARIS
VOIE CK/16;voie CK/16;voie;;CK/16;2000_PARIS
ROUTE DU POINT DU JOUR A SURESNES;route du Point du Jour à Suresnes;route;du;Point du Jour à Suresnes;2000_PARIS
RUE WATTEAU;rue Watteau;rue;;Watteau;2000_PARIS
IMPASSE DE WATTIGNIES;impasse de Wattignies;impasse;de;Wattignies;2000_PARIS
VOIE BJ/18;voie BJ/18;voie;;BJ/18;2000_PARIS
AVENUE DE L'HIPPODROME;avenue de l'Hippodrome;avenue;de l';Hippodrome;2000_PARIS
CHEMIN DES LACS A LA PORTE DAUPHINE;chemin des Lacs à la Porte Dauphine;chemin;des;Lacs à la Porte Dauphine;2000_PARIS
RUE DES SOLITAIRES;rue des Solitaires;rue;des;Solitaires;2000_PARIS
PASSAGE DES TAILLANDIERS;passage des Taillandiers;passage;des;Taillandiers;2000_PARIS
RUE PAUL DUBOIS;rue Paul Dubois;rue;;Paul Dubois;2000_PARIS
VILLA DES NYMPHEAS;villa des Nymphéas;villa;des;Nymphéas;2000_PARIS
RUE PAJOL;rue Pajol;rue;;Pajol;2000_PARIS
PLACE PABLO PICASSO;place Pablo Picasso;place;;Pablo Picasso;2000_PARIS
AVENUE DE LA PORTE DE MONTREUIL;avenue de la Porte de Montreuil;avenue;de la;Porte de Montreuil;2000_PARIS
ALLEE PIERRE LAZAREFF;allée Pierre Lazareff;allée;;Pierre Lazareff;2000_PARIS
PLACE DU PALAIS ROYAL;place du Palais Royal;place;du;Palais Royal;2000_PARIS
CITE PARADIS;cité Paradis;cité;;Paradis;2000_PARIS
RUE LINCOLN;rue Lincoln;rue;;Lincoln;2000_PARIS
ROUTE DE LA GRANDE CASCADE;route de la Grande Cascade;route;de la;Grande Cascade;2000_PARIS
RUE ROSSINI;rue Rossini;rue;;Rossini;2000_PARIS
RUE DE LA BAUME;rue de La Baume;rue;de;La Baume;2000_PARIS
PLACE WASSILY KANDINSKY;place Wassily Kandinsky;place;;Wassily Kandinsky;2000_PARIS
GALERIE DES PROUES;galerie des Proues;galerie;des;Proues;2000_PARIS
PASSAGE RAMEY;passage Ramey;passage;;Ramey;2000_PARIS
RUE ROUGEMONT;rue Rougemont;rue;;Rougemont;2000_PARIS
RUE DU RENDEZ-VOUS;rue du Rendez-Vous;rue;du;Rendez-Vous;2000_PARIS
RUE JEAN BOUTON;rue Jean Bouton;rue;;Jean Bouton;2000_PARIS
BOULEVARD JULES SANDEAU;boulevard Jules Sandeau;boulevard;;Jules Sandeau;2000_PARIS
RUE JEAN HUGUES;rue Jean Hugues;rue;;Jean Hugues;2000_PARIS
RUE DE LEVIS;rue de Lévis;rue;de;Lévis;2000_PARIS
VILLA DU LAVOIR;villa du Lavoir;villa;du;Lavoir;2000_PARIS
RUE DE LISBONNE;rue de Lisbonne;rue;de;Lisbonne;2000_PARIS
RUE JUSSIEU;rue Jussieu;rue;;Jussieu;2000_PARIS
RUE DU LOIRET;rue du Loiret;rue;du;Loiret;2000_PARIS
IMPASSE MARTY;impasse Marty;impasse;;Marty;2000_PARIS
PLACE DU MARECHAL DE LATTRE DE TASSIGNY;place du Maréchal de Lattre de Tassigny;place;du;Maréchal de Lattre de Tassigny;2000_PARIS
RUE MERLIN;rue Merlin;rue;;Merlin;2000_PARIS
SENTIER DES MERISIERS;sentier des Merisiers;sentier;des;Merisiers;2000_PARIS
RUE DU MAIL;rue du Mail;rue;du;Mail;2000_PARIS
PASSAGE DU MONTENEGRO;passage du Montenegro;passage;du;Montenegro;2000_PARIS
RUE DU MORVAN;rue du Morvan;rue;du;Morvan;2000_PARIS
RUE AU MAIRE;rue au Maire;rue;au;Maire;2000_PARIS
CITE DE LA MAIRIE;cité de la Mairie;cité;de la;Mairie;2000_PARIS
RUE AUX OURS;rue aux Ours;rue;aux;Ours;2000_PARIS
RUE MARYSE BASTIE;rue Maryse Bastié;rue;;Maryse Bastié;2000_PARIS
RUE ROBINEAU;rue Robineau;rue;;Robineau;2000_PARIS
RUE NOCARD;rue Nocard;rue;;Nocard;2000_PARIS
VOIE AJ/13;voie AJ/13;voie;;AJ/13;2000_PARIS
PLACE PASDELOUP;place Pasdeloup;place;;Pasdeloup;2000_PARIS
RUE PAUL ET JEAN LEROLLE;rue Paul et Jean Lerolle;rue;;Paul et Jean Lerolle;2000_PARIS
RUE NOTRE-DAME DE NAZARETH;rue Notre-Dame de Nazareth;rue;;Notre-Dame de Nazareth;2000_PARIS
RUE PASQUIER;rue Pasquier;rue;;Pasquier;2000_PARIS
RUE DES PETITES ECURIES;rue des Petites Écuries;rue;des;Petites Écuries;2000_PARIS
PASSAGE DE LA PETITE VOIRIE;passage de la Petite Voirie;passage;de la;Petite Voirie;2000_PARIS
VOIE AE/20;voie AE/20;voie;;AE/20;2000_PARIS
RUE DU SIMPLON;rue du Simplon;rue;du;Simplon;2000_PARIS
VOIE AH/20;voie AH/20;voie;;AH/20;2000_PARIS
AVENUE RAYMOND POINCARE;avenue Raymond Poincaré;avenue;;Raymond Poincaré;2000_PARIS
PASSAGE PLANTIN;passage Plantin;passage;;Plantin;2000_PARIS
VOIE AI/12;voie AI/12;voie;;AI/12;2000_PARIS
RUE DE LA PARCHEMINERIE;rue de la Parcheminerie;rue;de la;Parcheminerie;2000_PARIS
RUE DU PARC ROYAL;rue du Parc Royal;rue;du;Parc Royal;2000_PARIS
RUE LEON COSNARD;rue Léon Cosnard;rue;;Léon Cosnard;2000_PARIS
RUE DU LAOS;rue du Laos;rue;du;Laos;2000_PARIS
VILLA LOUVAT;villa Louvat;villa;;Louvat;2000_PARIS
VOIE S/19;voie S/19;voie;;S/19;2000_PARIS
RUE LEMON;rue Lemon;rue;;Lemon;2000_PARIS
RUE JOSEPHINE;rue Joséphine;rue;;Joséphine;2000_PARIS
VILLA JULES LAFORGUE;villa Jules Laforgue;villa;;Jules Laforgue;2000_PARIS
VOIE CS/19;voie CS/19;voie;;CS/19;2000_PARIS
RUE JEAN REY;rue Jean Rey;rue;;Jean Rey;2000_PARIS
RUE LOUIS MURAT;rue Louis Murat;rue;;Louis Murat;2000_PARIS
RUE LEONCE REYNAUD;rue Léonce Reynaud;rue;;Léonce Reynaud;2000_PARIS
RUE LOUIS PASTEUR VALLERY-RADOT;rue Louis Pasteur Valléry-Radot;rue;;Louis Pasteur Valléry-Radot;2000_PARIS
RUE LEON SECHE;rue Léon Séché;rue;;Léon Séché;2000_PARIS
PLACE LOUIS LEPINE;place Louis Lépine;place;;Louis Lépine;2000_PARIS
IMPASSE DE LA JONQUIERE;impasse de La Jonquière;impasse;de;La Jonquière;2000_PARIS
IMPASSE DES JARDINIERS;impasse des Jardiniers;impasse;des;Jardiniers;2000_PARIS
RUE DES JARDINS SAINT-PAUL;rue des Jardins Saint-Paul;rue;des;Jardins Saint-Paul;2000_PARIS
AVENUE DU GENERAL BALFOURIER;avenue du Général Balfourier;avenue;du;Général Balfourier;2000_PARIS
RUE JACQUES CALLOT;rue Jacques Callot;rue;;Jacques Callot;2000_PARIS
RUE DU GENERAL ESTIENNE;rue du Général Estienne;rue;du;Général Estienne;2000_PARIS
RUE HENRI PAPE;rue Henri Pape;rue;;Henri Pape;2000_PARIS
RUE HENRI POINCARE;rue Henri Poincaré;rue;;Henri Poincaré;2000_PARIS
QUAI D'IVRY;quai d'Ivry;quai;d';Ivry;2000_PARIS
PASSAGE GANNERON;passage Ganneron;passage;;Ganneron;2000_PARIS
VILLA DE LA GRANDE ARMEE;villa de la Grande Armée;villa;de la;Grande Armée;2000_PARIS
RUE HERRAN;rue Herran;rue;;Herran;2000_PARIS
RUE HIPPOLYTE LEBAS;rue Hippolyte Lebas;rue;;Hippolyte Lebas;2000_PARIS
RUE HENRI MOISSAN;rue Henri Moissan;rue;;Henri Moissan;2000_PARIS
RUE DES ITALIENS;rue des Italiens;rue;des;Italiens;2000_PARIS
RUE DU GENERAL GUILHEM;rue du Général Guilhem;rue;du;Général Guilhem;2000_PARIS
RUE GEORGES DESPLAS;rue Georges Desplas;rue;;Georges Desplas;2000_PARIS
VOIE GEORGES POMPIDOU;voie Georges Pompidou;voie;;Georges Pompidou;2000_PARIS
RUE DES ISLETTES;rue des Islettes;rue;des;Islettes;2000_PARIS
RUE HEGESIPPE MOREAU;rue Hégésippe Moreau;rue;;Hégésippe Moreau;2000_PARIS
ALLEE SONIA RYKIEL;allée Sonia Rykiel;allée;;Sonia Rykiel;2000_PARIS
RUE DE GERGOVIE;rue de Gergovie;rue;de;Gergovie;2000_PARIS
RUE MOURAUD;rue Mouraud;rue;;Mouraud;2000_PARIS
CHEMIN DE SURESNES A BAGATELLE;chemin de Suresnes à Bagatelle;chemin;de;Suresnes à Bagatelle;2000_PARIS
RUE GUSTAVE COURBET;rue Gustave Courbet;rue;;Gustave Courbet;2000_PARIS
RUE MAURICE LOEWY;rue Maurice Loewy;rue;;Maurice Loewy;2000_PARIS
AVENUE ERNEST REYER;avenue Ernest Reyer;avenue;;Ernest Reyer;2000_PARIS
RUE GUILLAUME TELL;rue Guillaume Tell;rue;;Guillaume Tell;2000_PARIS
RUE GUTENBERG;rue Gutenberg;rue;;Gutenberg;2000_PARIS
PLACE HUBERT MONMARCHE;place Hubert Monmarché;place;;Hubert Monmarché;2000_PARIS
RUE MALLET-STEVENS;rue Mallet-Stevens;rue;;Mallet-Stevens;2000_PARIS
RUE DES MALMAISONS;rue des Malmaisons;rue;des;Malmaisons;2000_PARIS
RUE DE SAINT-PETERSBOURG;rue de Saint-Pétersbourg;rue;de;Saint-Pétersbourg;2000_PARIS
RUE MAURICE NOGUES;rue Maurice Noguès;rue;;Maurice Noguès;2000_PARIS
SQUARE THEODORE JUDLIN;square Théodore Judlin;square;;Théodore Judlin;2000_PARIS
RUE FREDERIC MOURLON;rue Frédéric Mourlon;rue;;Frédéric Mourlon;2000_PARIS
PARVIS ALAN TURING;parvis Alan Turing;parvis;;Alan Turing;2000_PARIS
ROUTE DE LA BELLE ETOILE;route de la Belle Étoile;route;de la;Belle Étoile;2000_PARIS
RUE TREILHARD;rue Treilhard;rue;;Treilhard;2000_PARIS
RUE SAINT-MATHIEU;rue Saint-Mathieu;rue;;Saint-Mathieu;2000_PARIS
RUE THEODORE DECK;rue Théodore Deck;rue;;Théodore Deck;2000_PARIS
RUE XAINTRAILLES;rue Xaintrailles;rue;;Xaintrailles;2000_PARIS
AVENUE ROGER CAHEN;avenue Roger Cahen;avenue;;Roger Cahen;2000_PARIS
RUE DU THEATRE;rue du Théâtre;rue;du;Théâtre;2000_PARIS
RUE ANTOINETTE FOUQUE;rue Antoinette Fouque;rue;;Antoinette Fouque;2000_PARIS
ALLEE ERIC CHABEUR;allée Éric Chabeur;allée;;Éric Chabeur;2000_PARIS
PROMENADE MAURICE CAREME;promenade Maurice Carême;promenade;;Maurice Carême;2000_PARIS
RUE SAINT-BERNARD;rue Saint-Bernard;rue;;Saint-Bernard;2000_PARIS
PLACE MELINA MERCOURI;place Mélina Mercouri;place;;Mélina Mercouri;2000_PARIS
CARREFOUR DE BEAUTE;carrefour de Beauté;carrefour;de;Beauté;2000_PARIS
RUE SAINT-ETIENNE DU MONT;rue Saint-Étienne du Mont;rue;;Saint-Étienne du Mont;2000_PARIS
ALLEES JACQUES BREL;allées Jacques Brel;allées;;Jacques Brel;2000_PARIS
PROMENADE GEORGES ULMER;promenade Georges Ulmer;promenade;;Georges Ulmer;2000_PARIS
VILLA SAINT-MICHEL;villa Saint-Michel;villa;;Saint-Michel;2000_PARIS
RUE ALBERT EINSTEIN;rue Albert Einstein;rue;;Albert Einstein;2000_PARIS
RUE NICOLE-REINE LEPAUTE;rue Nicole-Reine Lepaute;rue;;Nicole-Reine Lepaute;2000_PARIS
RUE DU SURMELIN;rue du Surmelin;rue;du;Surmelin;2000_PARIS
SQUARE TOLSTOI;square Tolstoï;square;;Tolstoï;2000_PARIS
BOULEVARD DU GENERAL JEAN SIMON;boulevard du Général Jean Simon;boulevard;du;Général Jean Simon;2000_PARIS
PLACE EMMANUEL LEVINAS;place Emmanuel Levinas;place;;Emmanuel Levinas;2000_PARIS
RUE VICTOR COUSIN;rue Victor Cousin;rue;;Victor Cousin;2000_PARIS
PONT SAINT-MICHEL;pont Saint-Michel;pont;;Saint-Michel;2000_PARIS
CITE THURE;cité Thuré;cité;;Thuré;2000_PARIS
PLACE PAUL RICOEUR;place Paul Ricoeur;place;;Paul Ricoeur;2000_PARIS
AVENUE ANDRE RIVOIRE;avenue André Rivoire;avenue;;André Rivoire;2000_PARIS
RUE SAINTE-APOLLINE;rue Sainte-Apolline;rue;;Sainte-Apolline;2000_PARIS
RUE BELHOMME;rue Belhomme;rue;;Belhomme;2000_PARIS
VOIE EQ/13;voie EQ/13;voie;;EQ/13;2000_PARIS
RUE DE BUENOS AIRES;rue de Buenos Aires;rue;de;Buenos Aires;2000_PARIS
RUE AUGUSTE VACQUERIE;rue Auguste Vacquerie;rue;;Auguste Vacquerie;2000_PARIS
RUE ANDRIEUX;rue Andrieux;rue;;Andrieux;2000_PARIS
PLACE FRANCOISE DORIN;place Françoise Dorin;place;;Françoise Dorin;2000_PARIS
RUE DES BEAUX-ARTS;rue des Beaux-Arts;rue;des;Beaux-Arts;2000_PARIS
GALERIE DE BEAUJOLAIS;galerie de Beaujolais;galerie;de;Beaujolais;2000_PARIS
RUE ROMY SCHNEIDER;rue Romy Schneider;rue;;Romy Schneider;2000_PARIS
VILLA ADRIENNE SIMON;villa Adrienne Simon;villa;;Adrienne Simon;2000_PARIS
PLACE DU 18 JUIN 1940;place du 18 Juin 1940;place;du;18 Juin 1940;2000_PARIS
BOULEVARD DE BELLEVILLE;boulevard de Belleville;boulevard;de;Belleville;2000_PARIS
ALLEE CHARLES BRENNUS;allée Charles Brennus;allée;;Charles Brennus;2000_PARIS
RUE DE DIJON;rue de Dijon;rue;de;Dijon;2000_PARIS
PLACE JAN KARSKI;place Jan Karski;place;;Jan Karski;2000_PARIS
RUE AUMONT-THIEVILLE;rue Aumont-Thiéville;rue;;Aumont-Thiéville;2000_PARIS
PASSAGE DE LA CANOPEE;passage de la Canopée;passage;de la;Canopée;2000_PARIS
RUE ALAIN;rue Alain;rue;;Alain;2000_PARIS
PONT DE L'ARCHEVECHE;pont de l'Archevêché;pont;de l';Archevêché;2000_PARIS
COUR DU MARCHE SAINT-ANTOINE;cour du Marché Saint-Antoine;cour;du;Marché Saint-Antoine;2000_PARIS
PLACE ALBERT COHEN;place Albert Cohen;place;;Albert Cohen;2000_PARIS
PASSAGE BARROIS;passage Barrois;passage;;Barrois;2000_PARIS
RUE DU DOCTEUR LUCAS-CHAMPIONNIERE;rue du Docteur Lucas-Championnière;rue;du;Docteur Lucas-Championnière;2000_PARIS
RUE DAUTANCOURT;rue Dautancourt;rue;;Dautancourt;2000_PARIS
AVENUE BARBEY D'AUREVILLY;avenue Barbey d'Aurevilly;avenue;;Barbey d' Aurevilly;2000_PARIS
RUE AUGUSTE MIE;rue Auguste Mie;rue;;Auguste Mie;2000_PARIS
RUE BELLINI;rue Bellini;rue;;Bellini;2000_PARIS
RUE DE CRIMEE;rue de Crimée;rue;de;Crimée;2000_PARIS
BOULEVARD BEAUMARCHAIS;boulevard Beaumarchais;boulevard;;Beaumarchais;2000_PARIS
PLACE DENFERT-ROCHEREAU;place Denfert-Rochereau;place;;Denfert-Rochereau;2000_PARIS
IMPASSE CLISSON;impasse Clisson;impasse;;Clisson;2000_PARIS
RUE DE L'ABBE GREGOIRE;rue de l'Abbé Grégoire;rue;de l';Abbé Grégoire;2000_PARIS
PLACE ALPHONSE ALLAIS;place Alphonse Allais;place;;Alphonse Allais;2000_PARIS
RUE ALFRED DEHODENCQ;rue Alfred Dehodencq;rue;;Alfred Dehodencq;2000_PARIS
PLACE DE CLICHY;place de Clichy;place;de;Clichy;2000_PARIS
VILLA BELLIARD;villa Belliard;villa;;Belliard;2000_PARIS
RUE DARMESTETER;rue Darmesteter;rue;;Darmesteter;2000_PARIS
RUE DES DEGRES;rue des Degrés;rue;des;Degrés;2000_PARIS
RUE DE BASSANO;rue de Bassano;rue;de;Bassano;2000_PARIS
CITE AUGUSTE CHABRIERES;cité Auguste Chabrières;cité;;Auguste Chabrières;2000_PARIS
AVENUE DAVID WEILL;avenue David Weill;avenue;;David Weill;2000_PARIS
RUE D'ALEXANDRIE;rue d'Alexandrie;rue;d';Alexandrie;2000_PARIS
RUE CHRISTINE;rue Christine;rue;;Christine;2000_PARIS
RUE DES BATIGNOLLES;rue des Batignolles;rue;des;Batignolles;2000_PARIS
PASSAGE COLBERT;passage Colbert;passage;;Colbert;2000_PARIS
RUE CHARLES LE GOFFIC;rue Charles Le Goffic;rue;;Charles Le Goffic;2000_PARIS
RUE DANIEL STERN;rue Daniel Stern;rue;;Daniel Stern;2000_PARIS
RUE CLOTILDE;rue Clotilde;rue;;Clotilde;2000_PARIS
RUE COUSTOU;rue Coustou;rue;;Coustou;2000_PARIS
RUE DU CHEMIN DE FER;rue du Chemin de Fer;rue;du;Chemin de Fer;2000_PARIS
PLACE DE L'AMPHITHEATRE;place de l'Amphithéâtre;place;de l';Amphithéâtre;2000_PARIS
QUAI DE BOURBON;quai de Bourbon;quai;de;Bourbon;2000_PARIS
RUE CLOVIS;rue Clovis;rue;;Clovis;2000_PARIS
PLACE DES ANTILLES;place des Antilles;place;des;Antilles;2000_PARIS
RUE DES DEUX BOULES;rue des Deux Boules;rue;des;Deux Boules;2000_PARIS
RUE CHANEZ;rue Chanez;rue;;Chanez;2000_PARIS
RUE DU COMMANDANT RIVIERE;rue du Commandant Rivière;rue;du;Commandant Rivière;2000_PARIS
AVENUE DES CHALETS;avenue des Chalets;avenue;des;Chalets;2000_PARIS
RUE BOUCRY;rue Boucry;rue;;Boucry;2000_PARIS
PASSAGE DES DEUX PORTES;passage des Deux Portes;passage;des;Deux Portes;2000_PARIS
AVENUE DODE DE LA BRUNERIE;avenue Dode de la Brunerie;avenue;;Dode de la Brunerie;2000_PARIS
VILLA DES CHARMILLES;villa des Charmilles;villa;des;Charmilles;2000_PARIS
CITE BLANCHE;cité Blanche;cité;;Blanche;2000_PARIS
PASSAGE DU CHAMP A LOUP;passage du Champ à Loup;passage;du;Champ à Loup;2000_PARIS
PLACE DU COMMERCE;place du Commerce;place;du;Commerce;2000_PARIS
PLACE CHARLES FILLION;place Charles Fillion;place;;Charles Fillion;2000_PARIS
RUE BOISSIERE;rue Boissière;rue;;Boissière;2000_PARIS
RUE DU HAMEAU;rue du Hameau;rue;du;Hameau;2000_PARIS
RUE CAMILLE TAHAN;rue Camille Tahan;rue;;Camille Tahan;2000_PARIS
PONT DE BERCY;pont de Bercy;pont;de;Bercy;2000_PARIS
RUE CHARLES DELESCLUZE;rue Charles Delescluze;rue;;Charles Delescluze;2000_PARIS
RUE BOUGAINVILLE;rue Bougainville;rue;;Bougainville;2000_PARIS
RUE DE BOURGOGNE;rue de Bourgogne;rue;de;Bourgogne;2000_PARIS
PLACE BOIELDIEU;place Boieldieu;place;;Boieldieu;2000_PARIS
RUE DE CALAIS;rue de Calais;rue;de;Calais;2000_PARIS
RUE BOUTEBRIE;rue Boutebrie;rue;;Boutebrie;2000_PARIS
RUE CAULAINCOURT;rue Caulaincourt;rue;;Caulaincourt;2000_PARIS
PLACE CHASSAIGNE-GOYON;place Chassaigne-Goyon;place;;Chassaigne-Goyon;2000_PARIS
RUE DE LA BIENFAISANCE;rue de la Bienfaisance;rue;de la;Bienfaisance;2000_PARIS
RUE BERNARD DIMEY;rue Bernard Dimey;rue;;Bernard Dimey;2000_PARIS
IMPASSE GOMBOUST;impasse Gomboust;impasse;;Gomboust;2000_PARIS
RUE DE LA GRANDE CHAUMIERE;rue de la Grande Chaumière;rue;de la;Grande Chaumière;2000_PARIS
RUE D'HAUTPOUL;rue d'Hautpoul;rue;d';Hautpoul;2000_PARIS
BOULEVARD DES INVALIDES;boulevard des Invalides;boulevard;des;Invalides;2000_PARIS
BOULEVARD BESSIERES;boulevard Bessières;boulevard;;Bessières;2000_PARIS
RUE BEZOUT;rue Bezout;rue;;Bezout;2000_PARIS
RUE BISCORNET;rue Biscornet;rue;;Biscornet;2000_PARIS
RUE BISSON;rue Bisson;rue;;Bisson;2000_PARIS
RUE DE L'INDUSTRIE;rue de l'Industrie;rue;de l';Industrie;2000_PARIS
RUE GOSSEC;rue Gossec;rue;;Gossec;2000_PARIS
RUE CHARLES CROS;rue Charles Cros;rue;;Charles Cros;2000_PARIS
PLACE DES INSURGES DE VARSOVIE;place des Insurgés de Varsovie;place;des;Insurgés de Varsovie;2000_PARIS
ROUTE DE REUILLY;route de Reuilly;route;de;Reuilly;2000_PARIS
VOIE AD/18;voie AD/18;voie;;AD/18;2000_PARIS
RUE VIETE;rue Viète;rue;;Viète;2000_PARIS
VOIE DR/13;voie DR/13;voie;;DR/13;2000_PARIS
RUE JACQUES DUCHESNE;rue Jacques Duchesne;rue;;Jacques Duchesne;2000_PARIS
VOIE CL/12;voie CL/12;voie;;CL/12;2000_PARIS
VOIE P/19;voie P/19;voie;;P/19;2000_PARIS
VOIE CH/12;voie CH/12;voie;;CH/12;2000_PARIS
RUE YVART;rue Yvart;rue;;Yvart;2000_PARIS
RUE VILLEBOIS-MAREUIL;rue Villebois-Mareuil;rue;;Villebois-Mareuil;2000_PARIS
SQUARE VICTORIEN SARDOU;square Victorien Sardou;square;;Victorien Sardou;2000_PARIS
RUE DE MESSINE;rue de Messine;rue;de;Messine;2000_PARIS
PASSAGE DU MOULINET;passage du Moulinet;passage;du;Moulinet;2000_PARIS
PASSAGE DES MENETRIERS;passage des Ménétriers;passage;des;Ménétriers;2000_PARIS
RUE DU MIDI;rue du Midi;rue;du;Midi;2000_PARIS
RUE DU MOULINET;rue du Moulinet;rue;du;Moulinet;2000_PARIS
RUE MICHEL CHASLES;rue Michel Chasles;rue;;Michel Chasles;2000_PARIS
AVENUE LOUIS BARTHOU;avenue Louis Barthou;avenue;;Louis Barthou;2000_PARIS
PASSAGE D'EUPATORIA;passage d'Eupatoria;passage;d';Eupatoria;2000_PARIS
RUE DE L'EXPOSITION;rue de l'Exposition;rue;de l';Exposition;2000_PARIS
RUE DE MONTEMPOIVRE;rue de Montempoivre;rue;de;Montempoivre;2000_PARIS
RUE DE JARENTE;rue de Jarente;rue;de;Jarente;2000_PARIS
